name,chat_id,status,tokens,images,model,end_time
PavelNDor,1018366370,admin,0,0,gpt-3.5-turbo-0613,0
ph2n1a,6092737855,mvp,20000,100,gpt-3.5-turbo-0613,2024-06-30
thunderb1rd,217513939,group,800,15,gpt-3.5-turbo-0613,0
Xxx_Anime666,-1002047822862,default,1000,15,gpt-3.5-turbo-0613,0
Darina_Sobol,546312733,group,800,15,gpt-3.5-turbo-0613,0
mariya0_o,1662589321,default,1000,15,gpt-3.5-turbo-0613,0
0ghilk5,6937237223,default,1000,15,gpt-3.5-turbo-0613,0
SerioZa_Smf,-1001665880322,group,0,15,gpt-3.5-turbo-0613,0
romapim,392710292,group,0,15,gpt-3.5-turbo-0613,0
hydronaft,561977479,group,0,15,gpt-3.5-turbo-0613,0
fanownifame,1467854871,default,1000,15,gpt-3.5-turbo-0613,0
ViktorGoldFox,1746901164,default,0,0,gpt-3.5-turbo-16k,0
